wallet,token_mint,ticker,block_time
WecFeF15nh4F5z3xN5ZGJjYEb9oyddXGsXtTD77jU,TMASi45ub7Qe4ZE36UT5G6cU4ud8Fhhe4deS4F3cw,WOJAK2,1788629023
Wkii74SoNtx7GDDbV9UCJWGx5Vtxwc74ibv16qwGB,TMASi45ub7Qe4ZE36UT5G6cU4ud8Fhhe4deS4F3cw,WOJAK2,1788628183
WpJGF9p7kpzb6eU326EFZf2cDnimbTFVeJtx1qtBm,TrK9pGSSxY6BVScJy9uUxcJnTPkyRFA6CAFjF1Yve,BONKZ,1788618643
WPy5yGQKBVvbnLgtia1jucLj7y9H8y7pcAJKfEnNE,TrK9pGSSxY6BVScJy9uUxcJnTPkyRFA6CAFjF1Yve,BONKZ,1788620323
Wzw46hUvJ31Nr9hHBpVcnUc185ymzAb3vQecAU93L,TrK9pGSSxY6BVScJy9uUxcJnTPkyRFA6CAFjF1Yve,BONKZ,1788619663
WyiWAH9GpcbHpeUzeSQF9ZY6q4x8AhBskUf5RRfWa,TrK9pGSSxY6BVScJy9uUxcJnTPkyRFA6CAFjF1Yve,BONKZ,1788619423
WpJGF9p7kpzb6eU326EFZf2cDnimbTFVeJtx1qtBm,TNhFgtsqwDtGuSptFDaYPo22sJXHDmfPVtoPQ6F7F,RUGCHECK,1788613303
WqJriN8KUBW1oyoHZqCZ7xhLvhZfDAQqBbra1fMY2,TNhFgtsqwDtGuSptFDaYPo22sJXHDmfPVtoPQ6F7F,RUGCHECK,1788613903
WGyd66oYu5qbr99jXcBHaxfUEbqomDnLSjiQVzaV8,TiPti6vj8RsnqDXyCUshN6toSWSp6oBB92AezWtiA,SOLDOGE,1788634663
WqN76R7PwPfHt3oWb8R6cKvhgyxQdDn53jFrK6wFx,TiPti6vj8RsnqDXyCUshN6toSWSp6oBB92AezWtiA,SOLDOGE,1788634183
WyiWAH9GpcbHpeUzeSQF9ZY6q4x8AhBskUf5RRfWa,TiPti6vj8RsnqDXyCUshN6toSWSp6oBB92AezWtiA,SOLDOGE,1788635863
WecFeF15nh4F5z3xN5ZGJjYEb9oyddXGsXtTD77jU,TiPti6vj8RsnqDXyCUshN6toSWSp6oBB92AezWtiA,SOLDOGE,1788635383
WkxGS8ydGef3g6TjedaMHEjnMGHS9jiLWMq51Wgd7,TiPti6vj8RsnqDXyCUshN6toSWSp6oBB92AezWtiA,SOLDOGE,1788635023
Wzw46hUvJ31Nr9hHBpVcnUc185ymzAb3vQecAU93L,TiPti6vj8RsnqDXyCUshN6toSWSp6oBB92AezWtiA,SOLDOGE,1788635323
